Wavelength	Intensity	Element	Ion
281.701	4000	Al	II
263.848	3000	Al	II
263.904	2500	Al	II
266.995	2500	Al	II
263.948	2000	Al	II
247.6	1500	Al	II
252.725	1000	Al	II
256.039	1000	Al	II
263.896	1000	Al	II
271.04	1000	Al	II
286.934	1000	Al	II
466.436	1000	Al	II
308.941	800	Al	II
559.485	800	Al	II
304.216	750	Al	II
307.558	750	Al	II
209.493	700	Al	II
219.329	500	Al	II
246.055	500	Al	II
255.288	500	Al	II
255.847	500	Al	II
263.751	500	Al	II
263.941	500	Al	II
265.086	500	Al	II
268.407	500	Al	II
268.954	500	Al	II
270.826	500	Al	II
272.391	500	Al	II
276.166	500	Al	II
276.328	500	Al	II
280.2	500	Al	II
288.229	500	Al	II
299.902	500	Al	II
302.764	500	Al	II
458.71	500	Al	II
254.637	450	Al	II
255.098	450	Al	II
264.12	450	Al	II
299.64	400	Al	II
458.948	400	Al	II
464.991	400	Al	II
466.811	400	Al	II
232.491	350	Al	II
262.838	350	Al	II
272.069	350	Al	II
209.546	300	Al	II
219.614	300	Al	II
219.619	300	Al	II
224.374	300	Al	II
232.621	300	Al	II
232.721	300	Al	II
245.878	300	Al	II
247.707	300	Al	II
253.339	300	Al	II
255.756	300	Al	II
259.777	300	Al	II
270.724	300	Al	II
459.103	300	Al	II
263.581	250	Al	II
207.467	200	Al	II
209.581	200	Al	II
245.592	200	Al	II
302.496	200	Al	II
358.758	200	Al	II
444.905	200	Al	II
459.096	200	Al	II
600.807	200	Al	II
201.67	150	Al	II
201.689	150	Al	II
209.541	150	Al	II
254.094	150	Al	II
255.008	150	Al	II
256.646	150	Al	II
258.76	150	Al	II
274.974	150	Al	II
280.634	150	Al	II
282.148	125	Al	II
201.702	100	Al	II
209.577	100	Al	II
231.448	100	Al	II
239.449	100	Al	II
245.417	100	Al	II
245.793	100	Al	II
254.147	100	Al	II
263.233	100	Al	II
358.809	100	Al	II
390.178	100	Al	II
528.521	100	Al	II
561.485	100	Al	II
585.524	100	Al	II
624.509	100	Al	II
704.4	100	Al	II
835.661	100	Al	II
864.308	100	Al	II
747.347	90	Al	II
201.684	80	Al	II
210.038	80	Al	II
327.671	80	Al	II
331.43	80	Al	II
586.315	80	Al	II
597.363	80	Al	II
683.903	80	Al	II
313.676	75	Al	II
623.347	75	Al	II
201.652	70	Al	II
219.493	70	Al	II
358.847	70	Al	II
600.342	60	Al	II
618.339	60	Al	II
201.699	50	Al	II
228.583	50	Al	II
239.281	50	Al	II
242.848	50	Al	II
253.285	50	Al	II
255.677	50	Al	II
270.657	50	Al	II
299.515	50	Al	II
335.242	50	Al	II
358.794	50	Al	II
358.837	50	Al	II
365.604	50	Al	II
373.908	50	Al	II
422.8	50	Al	II
422.868	50	Al	II
422.919	50	Al	II
586.944	50	Al	II
607.488	50	Al	II
618.328	50	Al	II
622.79	50	Al	II
682.536	50	Al	II
705.855	50	Al	II
745.147	50	Al	II
836.179	50	Al	II
836.577	50	Al	II
252.134	45	Al	II
253.393	45	Al	II
267.26	45	Al	II
202.273	40	Al	II
331.584	40	Al	II
365.211	40	Al	II
399.697	40	Al	II
600.354	40	Al	II
607.011	40	Al	II
365.602	35	Al	II
208.753	30	Al	II
234.824	30	Al	II
245.333	30	Al	II
300.267	30	Al	II
342.988	30	Al	II
358.833	30	Al	II
365.214	30	Al	II
370.427	30	Al	II
399.727	30	Al	II
463.706	30	Al	II
528.731	30	Al	II
606.28	30	Al	II
633.745	30	Al	II
309.361	26	Al	I
396.264	26	Al	I
239.142	25	Al	II
247.376	25	Al	II
358.796	25	Al	II
607.021	25	Al	II
308.305	24	Al	I
394.512	24	Al	I
219.488	20	Al	II
251.39	20	Al	II
309.374	20	Al	I
373.497	20	Al	II
399.75	20	Al	II
402.76	20	Al	II
763.743	20	Al	II
782.587	20	Al	II
208.214	15	Al	II
239.201	15	Al	II
262.371	15	Al	II
302.367	15	Al	II
358.773	15	Al	II
531.755	15	Al	II
606.8	15	Al	II
812.195	15	Al	II
305.803	14	Al	I
877.63	14	Al	I
305.096	13	Al	I
669.786	13	Al	I
877.528	13	Al	I
537.333	12	Al	II
537.333	12	Al	II
783.829	12	Al	I
670.052	11	Al	I
783.747	11	Al	I
228.617	10	Al	II
232.615	10	Al	II
232.716	10	Al	II
236.618	10	Al	II
237.003	10	Al	I
239.296	10	Al	II
249.864	10	Al	II
256.875	10	Al	I
257.586	10	Al	I
265.327	10	Al	I
266.118	10	Al	I
288.495	10	Al	II
331.656	10	Al	II
358.822	10	Al	II
365.022	10	Al	II
373.301	10	Al	II
399.72	10	Al	II
422.861	10	Al	II
424.19	10	Al	II
449.113	10	Al	II
464.862	10	Al	II
489.989	10	Al	II
490.414	10	Al	II
531.38	10	Al	II
555.861	10	Al	I
606.812	10	Al	II
681.857	10	Al	II
691.984	10	Al	II
706.559	10	Al	II
762.995	10	Al	II
781.798	10	Al	II
867.366	10	Al	II
884.37	10	Al	I
450.892	850	As	II
449.549	800	As	II
419.126	715	As	II
445.972	715	As	II
446.76	715	As	II
454.476	715	As	II
296.044	615	As	II
419.858	615	As	II
424.418	615	As	II
442.835	615	As	II
443.281	615	As	II
454.101	615	As	II
460.372	615	As	II
431.687	500	As	II
432.508	500	As	II
433.786	500	As	II
435.337	500	As	II
447.572	500	As	II
510.897	500	As	II
533.271	500	As	II
617.198	500	As	II
435.409	425	As	II
523.284	425	As	II
555.963	425	As	II
565.289	425	As	II
611.176	425	As	II
437.24	375	As	II
228.883	350	As	I
235.056	350	As	I
260.278	340	As	II
384.369	340	As	II
446.233	340	As	II
463.108	340	As	II
470.89	340	As	II
473.199	340	As	II
488.992	340	As	II
510.7	340	As	II
549.925	340	As	II
799.273	340	As	II
283.119	300	As	II
283.2	300	As	II
288.525	300	As	II
300.47	300	As	II
311.742	300	As	II
651.354	300	As	II
709.423	300	As	II
710.468	300	As	II
817.676	300	As	II
962.934	290	As	I
992.577	290	As	I
200.399	230	As	I
960.058	230	As	I
983.646	230	As	I
930.316	200	As	I
245.727	170	As	I
278.104	170	As	I
991.843	170	As	I
990.326	140	As	I
216.62	135	As	I
238.191	135	As	I
545.284	135	As	I
882.415	135	As	I
926.982	135	As	I
200.984	100	As	I
201.397	100	As	I
211.366	100	As	I
214.476	100	As	I
237.149	100	As	I
286.128	100	As	I
507.039	100	As	I
512.277	100	As	I
514.306	100	As	I
540.963	100	As	I
843.123	100	As	I
856.706	100	As	I
865.652	100	As	I
887.21	100	As	I
988.876	100	As	I
289.956	50	As	I
249.366	40	As	I
274.581	40	As	I
234.475	35	As	I
455.531	9300	Ba	II
493.545	6900	Ba	II
233.598	4310	Ba	II
230.496	3370	Ba	II
553.702	1830	Ba	I
648.47	1770	Ba	I
614.341	1510	Ba	II
728.23	1280	Ba	I
650.056	1060	Ba	I
413.181	910	Ba	II
634.343	900	Ba	I
649.869	900	Ba	II
652.911	890	Ba	I
611.247	880	Ba	I
350.211	860	Ba	I
606.479	840	Ba	I
706.189	770	Ba	I
577.922	740	Ba	I
659.715	740	Ba	I
597.335	700	Ba	I
856.235	700	Ba	I
599.875	620	Ba	I
582.789	610	Ba	I
602.114	610	Ba	I
458.092	580	Ba	I
645.263	580	Ba	I
767.42	560	Ba	I
399.453	530	Ba	I
428.43	530	Ba	I
712.229	530	Ba	I
234.831	510	Ba	II
937.269	510	Ba	I
389.288	500	Ba	II
667.711	462	Ba	I
669.569	454	Ba	I
393.683	423	Ba	I
580.729	419	Ba	I
225.548	415	Ba	II
263.557	381	Ba	II
443.314	374	Ba	I
472.776	371	Ba	I
585.53	331	Ba	II
452.444	327	Ba	I
413.359	309	Ba	I
469.293	306	Ba	I
778.262	299	Ba	I
552.058	280	Ba	I
440.378	273	Ba	I
490.129	273	Ba	II
391.102	272	Ba	I
435.155	271	Ba	I
749.014	253	Ba	I
252.917	249	Ba	II
449.024	234	Ba	I
457.513	230	Ba	I
450.719	209	Ba	I
580.183	203	Ba	I
542.606	199	Ba	I
452.62	188	Ba	II
961.153	184	Ba	I
224.638	173	Ba	II
223.348	170	Ba	II
307.248	168	Ba	I
389.043	165	Ba	I
791.351	160	Ba	I
790.792	150	Ba	I
739.444	143	Ba	I
449.49	137	Ba	I
467.493	133	Ba	I
259.741	120	Ba	I
364.143	114	Ba	I
553.741	112	Ba	I
460.101	108	Ba	I
416.718	103	Ba	II
278.61	95	Ba	I
590.927	94	Ba	I
945.857	89	Ba	I
358.069	87	Ba	I
983.287	83	Ba	I
389.376	82	Ba	I
470.174	80	Ba	I
516.131	80	Ba	I
891.746	80	Ba	I
270.343	78	Ba	I
277.217	77	Ba	II
215.461	74	Ba	II
354.567	74	Ba	I
821.25	70	Ba	I
228.669	68	Ba	II
487.901	66	Ba	I
264.805	64	Ba	II
462.963	63	Ba	I
490.422	63	Ba	I
686.758	62	Ba	I
399.678	61	Ba	I
432.422	61	Ba	I
393.898	59	Ba	I
363.168	57	Ba	I
922.224	56	Ba	I
386.298	53	Ba	I
719.721	53	Ba	I
352.598	47	Ba	I
221.545	45	Ba	II
408.602	43	Ba	I
886.345	43	Ba	I
426.562	42	Ba	I
264.216	41	Ba	II
568.175	41	Ba	I
462.121	40	Ba	I
274.005	39	Ba	I
433.413	39	Ba	I
959.193	36	Ba	I
422.515	34	Ba	I
379.588	33	Ba	I
220.157	30	Ba	II
446.835	30	Ba	I
741.958	30	Ba	I
440.807	29	Ba	I
746.172	29	Ba	I
459.311	28	Ba	I
460.627	28	Ba	I
429.236	26	Ba	I
316.652	25	Ba	I
424.075	25	Ba	I
494.869	25	Ba	I
723.079	25	Ba	I
470.041	24	Ba	I
871.316	24	Ba	II
764.49	23	Ba	I
459.104	22	Ba	I
761.257	22	Ba	I
394.671	21	Ba	I
568.157	21	Ba	I
342.129	19	Ba	I
363.788	19	Ba	I
505.637	19	Ba	I
357.863	18	Ba	I
432.632	18	Ba	I
874.015	18	Ba	II
931.053	18	Ba	I
932.695	18	Ba	I
223.607	17	Ba	II
424.38	17	Ba	I
360.043	16	Ba	I
328.272	15	Ba	I
418.053	14	Ba	I
582.042	14	Ba	I
763.888	14	Ba	I
337.794	13	Ba	I
366.358	13	Ba	I
368.942	13	Ba	I
408.211	13	Ba	I
441.49	13	Ba	I
865.646	13	Ba	I
205.341	12	Ba	II
359.423	12	Ba	I
919.191	12	Ba	I
358.912	11	Ba	I
361.199	11	Ba	I
971.638	11	Ba	I
313.861	10	Ba	I
315.658	10	Ba	I
358.753	10	Ba	I
495.848	10	Ba	II
283.754	1000	C	II
426.846	1000	C	II
426.846	1000	C	II
723.841	1000	C	II
247.931	800	C	I
283.843	800	C	II
299.349	800	C	II
392.18	800	C	II
426.82	800	C	II
657.987	800	C	II
723.331	800	C	II
940.831	800	C	I
392.009	570	C	II
514.659	570	C	II
589.14	570	C	II
658.47	570	C	II
833.744	520	C	I
909.733	450	C	I
515.252	400	C	II
251.282	350	C	II
274.209	350	C	II
387.729	350	C	II
387.751	350	C	II
387.776	350	C	II
407.7	350	C	II
513.437	350	C	II
513.471	350	C	II
514.492	350	C	II
566.404	350	C	II
589.322	350	C	II
712.186	350	C	II
538.184	300	C	I
601.489	300	C	I
911.43	300	C	I
966.109	300	C	I
250.988	250	C	II
257.56	250	C	II
274.73	250	C	II
407.567	250	C	II
564.964	250	C	II
600.769	250	C	I
601.651	250	C	I
678.577	250	C	II
711.514	250	C	I
711.715	250	C	I
711.759	250	C	II
906.392	250	C	I
909.1	250	C	I
962.344	250	C	I
477.308	200	C	I
493.343	200	C	I
505.358	200	C	I
600.279	200	C	I
658.943	200	C	I
711.895	200	C	I
786.305	200	C	I
806.084	200	C	I
906.496	200	C	I
908.077	200	C	I
